id,keyword,text,pics,timestamp,source,user_name,reposts_count,comments_count,attitudes_count,created_at,updated_at
5224653291260481,詹姆斯退役,里夫斯赛后采访：“如果我是詹姆斯，我现在就退役了，不会占用别人的机会和时间。” #詹姆斯被众人嘲讽# ,https://wx1.sinaimg.cn/large/c8524180ly1i6lg8d6npkj20wr0yh0yu.jpg,1761137877,新浪微博移动端,NBA乐爷,3,223,694,2025-10-27 14:31:59,2025-10-27 14:31:59
5219796221955099,詹姆斯退役,#湖人球迷起诉詹姆斯#⚠️湖人球迷起诉詹姆斯？这场闹剧揭开流量时代的残酷真相：当偶像把‘退役悬念’当流量密码，球迷的真心就成了待割的韭菜！✨ 球迷花高价抢‘最后一战’门票，结果发现只是广告套路，愤怒起诉索赔。这哪是篮球，分明是明星与资本合谋的智商税游戏！詹姆斯手握顶流资源，却用 ...全文,,1759979861,新浪微博移动端,黑曼巴Mentality_,0,66,173,2025-10-27 14:32:14,2025-10-27 14:32:14
5219434140013406,詹姆斯决定退役,詹姆斯博主:如果仅仅是一次商业合作的官宣，没必要配上“决定二”的标签#詹姆斯决定二 广告# ,https://wx1.sinaimg.cn/large/d84bce1fly1i64sttmcwqj20k00xsmzt.jpg,1759893534,新浪微博移动端,威吹11,0,48,121,2025-10-27 14:33:03,2025-10-27 14:33:03
5219419665990188,詹姆斯决定退役,#詹姆斯决定二 广告# 恰詹姆斯流量饭的博主长舒了一口气，包括黑粉！毕竟詹姆斯真退役他们就断了口粮了！就像用迅雷下了一整天的片，结果放出来是爱情公寓！不过要我说，老詹没必要再打下去了，确实该退休了。 ,,1759890083,新浪微博移动端,小布侃股,0,8,81,2025-10-27 14:33:17,2025-10-27 14:33:17
5219404467934354,詹姆斯退役,徐静雨：没想到老詹决定2真是广告，但我认为他在一周之内会宣布自己将退役  #詹姆斯决定二 广告# #湖人众将谈詹姆斯决定二# 韦德不打球的微博视频 ,,1759886460,新浪微博移动端,韦德不打球,4,32,62,2025-10-27 14:32:07,2025-10-27 14:32:57
5219402364748638,詹姆斯森林狼退役,#一分钟视频创作季##不负每一次热爱##微博兴趣创作计划##篮球需要沉淀# 詹姆斯詹姆斯第二次決定不是退役?而是跟肖華有關?#詹姆斯将宣布重大决策#NBA全程直播+回放:公牛vs骑士 步行者vs森林狼免费观赛点这里:网页链接浏览器打开下载安装无需注册既可观看)。#公牛vs骑士# ...全文,,1759885958,新浪微博移动端,篮球信徒Curry,0,11,13,2025-10-27 14:33:48,2025-10-27 14:33:48
5219395712320770,詹姆斯退役,詹密看见詹姆斯决定二擅作主张替詹姆斯决定退役，哭的泣不成声，结果被詹姆斯遛着玩了 #詹姆斯决定二 广告# CrazyBasketball的微博视频 ,,1759884372,新浪微博移动端,CrazyBasketball,20,116,504,2025-10-27 14:31:51,2025-10-27 14:32:49
5219381456142990,詹姆斯决定退役,【#詹姆斯决定二后首现身#】#詹姆斯决定二后笑容满面训练#此前，詹姆斯将发布决定二的预告消息引爆全球，网友纷纷猜测他是否会发布退役相关信息。后詹姆斯发布视频，证明决定二是一个广告。湖人主帅雷迪克对此表示：“没有人对此惊慌失措。”“决定二”事件后，詹姆斯也首次现身，笑容满面进行了个人训 ...全文,,1759880973,新浪微博移动端,新浪新闻,17,177,876,2025-10-27 14:33:25,2025-10-27 14:33:25
5219268327379354,詹姆斯决定退役,#詹姆斯决定二 广告#詹姆斯团队没说退役詹姆斯本人没说退役发个广告詹蜜没急詹黑急了 ,,1759854001,新浪微博移动端,见证布朗尼,2,56,225,2025-10-27 14:33:11,2025-10-27 14:33:11
5219261171372862,詹姆斯退役,这就是NBA的Goat吗？说要做一个重要的决定，结果是广子，这下之前舍不得詹姆斯退役的粉丝都希望他真退了吧。和那些喊粉丝“家人们”的主播有什么区别？有一种当红演员预热半天以为要官宣新作，结果是卖货的感觉！！#詹姆斯决定二 广告# ,https://wx1.sinaimg.cn/large/96542c59gy1i648x1uh1hj20jq086gnt.jpg,1759852295,新浪微博移动端,召唤师Park,43,246,866,2025-10-27 14:31:43,2025-10-27 14:31:43
