id,keyword,text,pics,timestamp,source,user_name,reposts_count,comments_count,attitudes_count,created_at,updated_at
5190514743969316,移植粪便菌群,#安徽首例洗涤菌群移植治疗终末期肝病# 将健康人粪便里的菌群，移植到病人肠道里面，以用来治疗疾病。近日，安医大一附院北区感染病科成功为一名肝硬化失代偿（TIPS术后）、肝性脑病合并肠道菌群失调的患者使用洗涤菌群移植技术进行肠道菌群移植治疗，术后效果明显，患者已经康复出院。据介绍，利用 ...全文,https://wx1.sinaimg.cn/large/9a90df4aly1i3kjhq7xhkj20or0dwguq.jpg,1752998613,新浪微博移动端,第一合肥,16,10,20,2025-10-27 20:11:31,2025-10-27 20:11:31
5170856234848671,移植粪便菌群,体重跟肠道也有关系吗 ？一、体重和肠道紧密相连！肠道就像人体“第二大脑”，藏着超多秘密： 1、菌群“指挥官”：肠道住着万亿菌群，有益菌是“瘦身小能手”，帮你高效分解食物、调节代谢；一旦有害菌“造反”，不仅会让你吸收更多热量，还会分泌毒素干扰代谢，悄悄囤脂肪。2、激素“调节师”： ...全文,,1748311659,新浪微博移动端,万鲤挑一吖,3,118,81,2025-10-27 20:11:22,2025-10-27 20:11:22
5170567595428376,移植粪便菌群,#人类肠道为何喜爱膳食纤维##守护肠道健康#肠道内寄居的微生物构成了一个巨大的生态系统，它们既是维持健康所必需的，也可能通过多种机制导致易感个体发生疾病。益生菌是对宿主有益的微生物。大多数市售益生菌产品都来源于食物，尤其是发酵奶制品。这类微生物的种类仍在不断增加。一般有4种方法可以 ...全文,,1748242842,新浪微博移动端,急诊科的大徐,9,6,44,2025-10-27 20:11:29,2025-10-27 20:11:29
5152525242598208,移植粪便菌群,#男子患双向情感障碍医生移植粪便救人#肠道菌群与大脑功能之间存在双向关联度，肠道微生物不仅仅是占用人体作为寄居点，而是通过某些生理机制，如代谢、免疫调节和等途径影响大脑中枢神经系统，从而控制我们的情绪及身体状态。近年研究确实表明，肠道菌群紊乱可能与抑郁症、焦虑症、自闭症等精神疾病 ...全文,"https://wx1.sinaimg.cn/large/5d08d1eagy1i07bzwdwcwj20v91vo4qp.jpg,https://wx1.sinaimg.cn/large/5d08d1eagy1i07c12su8uj20v91vohdt.jpg,https://wx1.sinaimg.cn/large/5d08d1eagy1i07cc2yaosj20v91vox24.jpg,https://wx1.sinaimg.cn/large/5d08d1eagy1i07cc7xmeaj20v91vo7m2.jpg,https://wx1.sinaimg.cn/large/5d08d1eagy1i07ccb8gmdj20v91voarh.jpg,https://wx1.sinaimg.cn/large/5d08d1eagy1i07cbzxdt5j20v91vo7nw.jpg",1743941210,新浪微博移动端,祺沅,36,7,113,2025-10-27 20:11:12,2025-10-27 20:11:12
5152319738741230,移植粪便菌群,【#男子被骗1000万崩溃用粪便移植治疗# #男子患双向情感障碍医生移植粪便救人#】江苏的王先生（化姓），10多年前因轻信他人被诈骗千万，随后被确诊罹患双相情感障碍，整个身体机能出现巨大混乱，肥胖、高血压、高血糖、腹痛、震颤、呼吸睡眠暂停、缺血性肠病纷纷找上门，最终王先生因反复腹痛等症状来 ...全文,,1743892214,新浪微博移动端,荔枝新闻,47,72,333,2025-10-27 20:11:13,2025-10-27 20:11:13
5123487194940626,移植粪便菌群,"#开放获取超话# 【粪便菌群移植对散发性肌萎缩侧索硬化症患者的影响 | BMC Medicine】Effect of fecal microbiota transplantation on patients with sporadic amyotrophic lateral sclerosis: a randomized, double-blind, placebo-controlled trial 网页链接发表期刊：BMC Medicine第 ...全文","https://wx1.sinaimg.cn/large/87dd034fly1hxlq9z93m8j20u00lptl4.jpg,https://wx1.sinaimg.cn/large/87dd034fly1hxlq9u8thbj20u00gr0u0.jpg",1737018000,新浪微博移动端,SpringerNature,1,1,2,2025-10-27 20:11:30,2025-10-27 20:11:30
5113647872083941,移植粪便手术,【扬州首例！#医生用便便为10岁男孩治疗自闭症#】10岁患者小帅（化名）患有自闭症并且还有便秘，近日，扬州大学附属医院神经内科与消化内科协助，将健康人粪便中的功能菌群，移植到小帅的肠道内，重建新的肠道菌群，从而实现治疗。据了解，这也是扬州市首例肠道菌群移植手术。扬州   ...全文,,1734672122,新浪微博移动端,现代快报,5,3,14,2025-10-27 20:10:55,2025-10-27 20:10:55
5099244962974958,移植粪便菌群,粪菌移植是什么？移植健康人的粪便会让自己变得健康吗？#尹烨科普# #粪菌移植# #肠道菌群# 尹烨的微博视频 ,,1731238201,新浪微博移动端,尹烨,7,3,26,2025-10-27 20:11:30,2025-10-27 20:11:30
5077746271128563,移植粪便菌群,坠楼双侧骨盆骨折被遗弃的金地，贾第鞭毛虫感染一直用药，就是不转阴，急死了，肠道菌群彻底紊乱，一直拉稀，今天开始尝试给他用粪便移植的胶囊，调理菌群！ 上海领养之家的微博视频 ,,1726112514,新浪微博移动端,上海领养之家,2,6,84,2025-10-27 20:11:31,2025-10-27 20:11:31
4994797641662589,移植粪便手术,读《消失的微生物》看到有一种通过移植粪便来在体内培育微生物以治疗乳靡泻的手术，不知道有没有人愿意移植我爸的粪便，他可以吃下完全变质变酸发臭的食物而不腹泻，这样的特性如果是在末日求生世界将派上大用场 ,,1706336018,新浪微博移动端,露宿與風餐,0,3,3,2025-10-27 20:10:56,2025-10-27 20:10:56
